"age_band","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"A.000-004",-0.002538071,-0.007633588,0,-0.000511379,-0.000511379,-0.009887695,-0.007859697,-0.00615117,-0.005157701,-0.00367624,-0.002522943
"B.005-009",0.002386635,0,0.002380952,0.011368505,0.011368505,-0.024570089,-0.01862851,-0.012462173,-0.010362983,-0.010471499,-0.00884704
"C.010-014",0.023640662,0.018475751,0.004535147,0.016804,0.016804,-0.008814887,-0.023288717,-0.019314341,-0.02103116,-0.018848494,-0.023384675
"D.015-019",0.01010101,0.0325,0.036319613,-0.000698246,-0.000698246,0.023953661,0.020777508,0.000770849,0.002227496,-0.004216605,-0.008260325
"E.020-024",-0.018518519,-0.023584906,-0.009661836,-0.008824441,-0.008824441,0.017141979,0.030431278,0.033444162,0.023325132,0.022932174,0.020587571
"F.025-029",-0.009546539,-0.002409639,-0.002415459,0.000973717,0.000973717,-0.016317873,-0.021619757,-0.012047839,-0.005591743,0.003589268,0.015944923
"G.030-034",0.011820331,0.009345794,0.002314815,0.000463071,0.000463071,-0.023363411,-0.015677755,-0.013002553,-0.015086613,-0.012637107,-0.015624567
"H.035-039",-0.009195402,-0.002320186,0.002325581,0.005745935,0.005745935,0.001935409,-0.008052504,-0.013889541,-0.008256008,-0.017513135,-0.020682246
"I.040-044",0.023419204,0.022883295,0.013422819,-0.007211074,-0.007211074,-0.015467443,-0.001792918,0.005118994,0.001809328,-0.00256416,0.00297313
"J.045-049",-0.036016949,-0.037362637,-0.01826484,-0.022339725,-0.022339725,0.02820342,0.018682505,0.012445669,-0.006408109,-0.00674451,-0.013368417
"K.050-054",-0.009310987,-0.015037594,-0.020992366,-0.000582922,-0.000582922,-0.035397168,-0.029730066,-0.018247863,0.005637052,0.01478195,0.027000512
"L.055-059",0.01618705,0.008849558,-0.003508772,0.019772146,0.019772146,-0.005852489,-0.011685226,-0.017277571,-0.021470041,-0.021866488,-0.033494831
"M.060-064",0.027777778,0.034749035,0.024253731,0.012890555,0.012890555,0.017499704,0.006042798,-0.000693058,-0.00731518,-0.007918025,-0.005080483
"N.065-069",-0.002096436,0.016806723,0.024793388,-0.005855319,-0.005855319,0.032261716,0.032715576,0.026971542,0.030985042,0.027111958,0.01767348
"O.070-074",0,-0.053231939,-0.036144578,0.023367513,0.023367513,0.001961889,0.018372321,0.025138579,0.022147731,0.026918872,0.032714278
"P.075-079",0.067010309,0.096618357,0.057268722,0.038811478,0.038811478,0.001231875,-0.054176163,-0.030409656,-0.006092331,-0.010134986,0.003599213
"Q.080-084",0.007017544,0.020905923,0.037542662,0.012683838,0.012683838,0.062449017,0.108883581,0.051006539,0.016396643,0.016252161,0.0006378
"R.085+",0.028929657,0.025279459,0.034634146,0.029238795,0.029238795,0.004378504,0.024619727,0.03973064,0.045955016,0.041065045,0.041581053
